x,y,z,sx,sy,sz
717470.30,1606264.07,18.61,0.0205,0.0479,0.1684
717792.25,1606221.82,14.32,0.0672,0.0283,0.3309
717507.17,1606125.88,2.38,0.0792,0.0889,0.1442
717592.20,1606114.30,5.32,0.0412,0.0454,0.1538
717825.64,1606227.40,27.12,0.4472,0.1071,1.0892
717491.95,1606174.58,12.81,0.1146,0.0568,0.3325
717613.94,1606138.82,10.69,0.1498,0.1786,0.9054
717772.63,1606229.97,24.23,0.0550,0.0530,0.4764
717388.62,1606019.83,1.87,0.2282,0.1610,0.3054
717582.02,1606160.93,14.09,0.0085,0.0083,0.0328
717642.67,1606170.21,14.58,0.0710,0.0583,0.4053
717368.21,1606002.33,2.86,0.2949,0.2174,0.3438
717575.55,1606179.21,11.22,0.0419,0.0177,0.1104
717563.94,1606177.18,11.66,0.0096,0.0103,0.0442
717612.84,1606174.23,11.12,0.0560,0.0542,0.1210
717630.08,1606185.18,4.89,0.0301,0.0239,0.0530
717572.87,1606180.04,13.39,0.0172,0.0183,0.0725
717590.52,1606241.59,4.88,0.0232,0.0367,0.1195
717606.67,1606115.63,5.12,0.0069,0.0068,0.0247
717576.80,1605914.97,5.37,0.2581,0.4306,0.5143
717637.78,1606191.35,5.41,0.0188,0.0213,0.0847
717595.86,1606122.51,7.76,0.0162,0.0170,0.0696
717563.20,1606176.34,12.12,0.0150,0.0161,0.0581
717597.64,1606244.21,4.93,0.0136,0.0126,0.0545
717662.38,1606259.04,12.54,0.3438,0.2271,0.4282
717679.51,1606265.43,14.53,0.4975,0.3099,0.5440
717645.36,1606171.70,14.19,0.0314,0.0283,0.1214
717653.96,1606248.45,5.82,0.1379,0.0711,0.1788
717707.99,1606273.15,16.65,0.3695,0.2103,0.3378
717716.01,1606283.32,17.52,0.1456,0.0877,0.1276
717594.25,1606112.81,5.00,0.0180,0.0211,0.0927
717606.28,1606224.15,5.62,0.0219,0.0204,0.0770
717599.29,1606164.52,8.81,0.0155,0.0161,0.0680
717504.93,1606175.85,16.89,0.0225,0.0210,0.1426
